dish_name;dish_description;dish_price
Classic Cheeseburger;Juicy beef patty topped with melted cheese, lettuce, tomato, and pickles on a sesame seed bun;$9.99
BBQ Bacon Burger;Grilled beef patty with crispy bacon, cheddar cheese, BBQ sauce, and onion rings on a brioche bun;$11.99
Mushroom Swiss Burger;Beef patty topped with sautéed mushrooms, Swiss cheese, lettuce, and mayo on a toasted bun;$10.99
Spicy Jalapeno Burger;Beef patty with pepper jack cheese, jalapenos, chipotle mayo, lettuce, and tomato on a jalapeno cheddar bun;$12.99
Avocado Turkey Burger;Grilled turkey patty with avocado, sprouts, tomato, and herb mayo on a whole wheat bun;$10.99
Veggie Burger;House-made veggie patty with lettuce, tomato, red onion, and avocado on a multigrain bun;$9.99
Double Bacon Cheeseburger;Two beef patties with crispy bacon, American cheese, lettuce, tomato, and special sauce on a sesame seed bun;$13.99
Teriyaki Pineapple Burger;Grilled chicken or beef patty with teriyaki sauce, grilled pineapple, lettuce, and Swiss cheese on a Hawaiian bun;$11.99
Buffalo Blue Cheese Burger;Beef patty with buffalo sauce, blue cheese crumbles, lettuce, tomato, and ranch dressing on a pretzel bun;$12.99
Portobello Mushroom Burger;Grilled portobello mushroom cap topped with roasted red peppers, spinach, goat cheese, and balsamic glaze on a ciabatta bun;$10.99
