dish_name;dish_description;dish_price
Pad Thai;Stir-fried rice noodles with shrimp, tofu, egg, bean sprouts, and peanuts in a tangy tamarind sauce;$12.99
Tom Yum Soup;Spicy and sour soup with shrimp, mushrooms, lemongrass, and Thai herbs;$10.99
Green Curry;Creamy coconut milk curry with chicken, eggplant, bamboo shoots, and basil;$13.99
Mango Sticky Rice;Sweet dessert made with ripe mango, sticky rice, and coconut milk;$7.99
Som Tum (Papaya Salad);Shredded green papaya salad with tomatoes, green beans, peanuts, and a spicy lime dressing;$9.99
Pad See Ew;Stir-fried wide rice noodles with broccoli, egg, and your choice of protein in a sweet soy sauce;$11.99
Massaman Curry;Rich and flavorful curry with beef, potatoes, onions, and peanuts in a fragrant sauce;$14.99
Thai Iced Tea;Sweet and creamy iced tea made with strong brewed black tea, condensed milk, and sugar;$4.99
Chicken Satay;Grilled marinated chicken skewers served with peanut sauce and cucumber salad;$8.99
Panang Curry;Thick and spicy curry with pork, bell peppers, kaffir lime leaves, and coconut milk;$12.99
