dish_name;dish_description;dish_price
Margherita Pizza;Traditional pizza topped with tomato sauce, fresh mozzarella, basil, and olive oil; $12.99
Spaghetti Carbonara;Pasta dish with egg, pancetta, pecorino cheese, and black pepper; $14.99
Chicken Parmigiana;Breaded chicken cutlets topped with marinara sauce and melted mozzarella cheese; $16.99
Risotto ai Funghi;Creamy risotto with mixed mushrooms, Parmesan cheese, and white wine; $15.99
Lasagna al Forno;Layers of pasta, Bolognese sauce, bechamel, and melted cheese baked to perfection; $13.99
Caprese Salad;Fresh tomatoes, mozzarella cheese, basil, olive oil, and balsamic glaze; $9.99
Tiramisu;Classic Italian dessert made with layers of coffee-soaked ladyfingers and mascarpone cream; $7.99
Gnocchi alla Sorrentina;Potato dumplings with tomato sauce, mozzarella, and basil; $11.99
Osso Buco;Braised veal shanks with vegetables, white wine, and gremolata; $19.99
Panna Cotta;Creamy Italian dessert topped with fruit compote or caramel sauce; $6.99
