dish_name;dish_description;dish_price
Sushi (Assorted);A selection of fresh raw fish and seafood served on seasoned rice, accompanied by wasabi and soy sauce;$15.99 
Tempura;Lightly battered and fried shrimp and vegetables, served with a dipping sauce;$12.99 
Ramen;A hearty noodle soup with broth, vegetables, and your choice of protein (chicken, pork, or tofu);$10.99 
Teriyaki Chicken;Grilled chicken marinated in a sweet and savory teriyaki sauce, served with steamed rice and vegetables;$14.99 
Gyoza;Pan-fried dumplings filled with pork and vegetables, served with a tangy dipping sauce;$8.99 
Chirashi Bowl;A colorful bowl of sushi rice topped with an assortment of sashimi, vegetables, and tamago (sweet omelette);$17.99 
Yakitori;Skewers of grilled chicken, vegetables, and tofu, glazed with a teriyaki sauce;$9.99 
Miso Soup;A traditional Japanese soup made with miso paste, tofu, seaweed, and green onions;$4.99 
Okonomiyaki;A savory pancake made with cabbage, pork, and seafood, topped with a sweet and tangy sauce;$11.99 
Matcha Green Tea Ice Cream;Creamy and refreshing ice cream infused with the earthy flavors of matcha green tea;$5.99
